Ref : 1573567,"house for sale in wennappuwa, katuneriya",Date : 18 Jun 2018 - 03:14 pm,Sell,House & Property,Houses,Puttalam-Wennappuwa,"Rs. 10,000,000"
Ref : 1573562,architect designed 2 story house for sale at kotte,Date : 18 Jun 2018 - 03:14 pm,Sell,House & Property,Houses,Colombo-Kotte,"Rs. 28,500,000"
Ref : 1573564,apartment houses for rent @ ratmalana,Date : 18 Jun 2018 - 03:14 pm,Rent,House & Property,Houses,Colombo-Ratmalana,"Rs. 100,000"
Ref : 1573546,luxury houses for sale in panadura.,Date : 18 Jun 2018 - 02:08 pm,Sell,House & Property,Houses,Kalutara-Panadura,Negotiable
Ref : 1573527,house for sale,Date : 18 Jun 2018 - 01:58 pm,Sell,House & Property,Houses,Colombo-Kolonnawa,"Rs. 11,000,000"
Ref : 1573535,annex for lease,Date : 18 Jun 2018 - 01:57 pm,Rent,House & Property,Houses,Kandy-Kundasale,"Rs. 25,000"
Ref : 1573537,house & land for sale in boralesgamuwa,Date : 18 Jun 2018 - 01:55 pm,Sell,House & Property,Houses,Colombo-Boralesgamuwa / Boralasgamuwa,Negotiable
Ref : 1573540,house for sale in maraluwawa kurunegala,Date : 18 Jun 2018 - 01:55 pm,Sell,House & Property,Houses,Kurunegala,"Rs. 10,500,000"
Ref : 1573530,two story house for sale or rent in bandarawela.,Date : 18 Jun 2018 - 01:14 pm,Rent,House & Property,Houses,Badulla-Bandarawela,"Rs. 20,000,000"
Ref : 1573449,seeks a bungalow or small hotel,Date : 18 Jun 2018 - 11:35 am,Wanted,House & Property,Houses,,Negotiable
Ref : 1573457,house for sale,Date : 18 Jun 2018 - 11:35 am,Sell,House & Property,Houses,Colombo-Pannipitiya,"Rs. 6,500,000"
Ref : 1573446,upstair house for sale kadawatha,Date : 18 Jun 2018 - 11:34 am,Sell,House & Property,Houses,Gampaha-Kadawatha,Negotiable
Ref : 1573462,house for sale in marawila,Date : 18 Jun 2018 - 11:33 am,Sell,House & Property,Houses,Puttalam-Marawila,Negotiable
Ref : 1573463,two storied house for rent in ethul kotte,Date : 18 Jun 2018 - 11:33 am,Rent,House & Property,Houses,Colombo,"Rs. 45,000"
Ref : 1573477,"house for rent only for 06 months at minuwangoda road,bolawalana, negombo",Date : 18 Jun 2018 - 11:33 am,Rent,House & Property,Houses,Gampaha-Negombo,"Rs. 30,000"
Ref : 1573482,brand new upstairs house for rent in nugegoda,Date : 18 Jun 2018 - 11:23 am,Rent,House & Property,Houses,Colombo-Nugegoda,"Rs. 70,000"
Ref : 1573117,annex for rent in maharagama,Date : 16 Jun 2018 - 10:16 am,Rent,House & Property,Houses,Colombo-Maharagama,"Rs. 30,000"
Ref : 1573027,two storey house for sale in koswatta,Date : 16 Jun 2018 - 10:15 am,Sell,House & Property,Houses,Colombo-Battaramulla,"Rs. 19,000,000"
Ref : 1573014,luxury rooms in nugegoda 50% off now,Date : 16 Jun 2018 - 10:15 am,Sell,House & Property,Houses,Colombo-Nugegoda,"Rs. 4,000"
Ref : 1573010,two storied house for rent in ethul kotte,Date : 16 Jun 2018 - 10:14 am,Rent,House & Property,Houses,Colombo,"Rs. 45,000"
Ref : 1573033,house at bokundara for rent,Date : 16 Jun 2018 - 10:12 am,Rent,House & Property,Houses,Colombo-Piliyandala,"Rs. 26,000"
Ref : 1573101,house for rent,Date : 16 Jun 2018 - 10:06 am,Rent,House & Property,Houses,Matale-Matale,"Rs. 17,000"
Ref : 1573110,2 storied house on 13.5 perches,Date : 16 Jun 2018 - 08:29 am,Sell,House & Property,Houses,Gampaha-Ja-Ela,Negotiable
Ref : 1573106,boralesgamuwa,Date : 16 Jun 2018 - 08:21 am,Rent,House & Property,Houses,Colombo-Boralesgamuwa / Boralasgamuwa,Negotiable
Ref : 1573094,house for rent,Date : 16 Jun 2018 - 03:36 am,Rent,House & Property,Houses,Colombo-Talawatugoda,Negotiable
Ref : 1573082,kandy,Date : 16 Jun 2018 - 01:27 am,Sell,House & Property,Houses,,Negotiable
Ref : 1573078,2 houses to be given on rent in boralasgamuwa,Date : 16 Jun 2018 - 12:58 am,Rent,House & Property,Houses,Colombo-Boralesgamuwa / Boralasgamuwa,Negotiable
Ref : 1573077,3 br house in athurugiriya,Date : 16 Jun 2018 - 12:56 am,Sell,House & Property,Houses,Colombo-Athurugiriya,Negotiable
Ref : 1573055,kesbewa,Date : 15 Jun 2018 - 10:51 pm,Sell,House & Property,Houses,,Negotiable
Ref : 1573054,kadawatha,Date : 15 Jun 2018 - 10:51 pm,Sell,House & Property,Houses,,Negotiable
Ref : 1573053,kottawa,Date : 15 Jun 2018 - 10:50 pm,Sell,House & Property,Houses,,Negotiable
Ref : 1573052,attidiya,Date : 15 Jun 2018 - 10:48 pm,Sell,House & Property,Houses,,Negotiable
Ref : 1573051,kottawa mattegoda,Date : 15 Jun 2018 - 10:46 pm,Sell,House & Property,Houses,,Negotiable
Ref : 1573050,"kandy - polgolla, gunnadapana",Date : 15 Jun 2018 - 10:45 pm,Sell,House & Property,Houses,,Negotiable
Ref : 1573042,homagama godagama house for sale,Date : 15 Jun 2018 - 10:31 pm,Sell,House & Property,Houses,Colombo-Homagama,Negotiable
Ref : 1573041,ratmalana room for rent,Date : 15 Jun 2018 - 10:29 pm,Rent,House & Property,Houses,Colombo-Ratmalana,Negotiable
Ref : 1573037,heerassagala 17 perches & 20 perches lands,Date : 15 Jun 2018 - 10:24 pm,Sell,House & Property,Houses,Kandy-Heerassagala,Negotiable
